STA_CHAN,S-E Delta,S-E Azimuth,Phase,Time,Signal/Noise,Time Residual,V. Model,Auth,arid
I23K_BHZ,64.304°,99.21°,P,2020-01-28 19:21:01.0255 UTC,61.255,0.427,iasp91,dbp:vladik:2002,6637506
P19K_BHZ,65.498°,93.13°,P,2020-01-28 19:21:08.4518 UTC,-1,0.064,iasp91,dbp:vladik:2002,6637721
Q19K_BHZ,65.674°,92.44°,P,2020-01-28 19:21:08.3176 UTC,-1,-1.205,iasp91,dbp:vladik:2002,6637722
H21K_BHZ,65.793°,96.23°,P,2020-01-28 19:21:09.4481 UTC,-1,-0.842,iasp91,dbp:vladik:2002,6637723
O19K_BHZ,66.069°,92.42°,P,2020-01-28 19:21:11.9561 UTC,25.753,-0.117,iasp91,dbp:vladik:2002,6637531
K20K_BHZ,66.129°,94.04°,P,2020-01-28 19:21:12.1605 UTC,-1,-0.298,iasp91,dbp:vladik:2002,6637724
D22K_BHZ,66.138°,97.77°,P,2020-01-28 19:21:12.3991 UTC,55.263,-0.117,iasp91,dbp:vladik:2002,6637611
N19K_BHZ,66.177°,92.55°,P,2020-01-28 19:21:13.1897 UTC,-1,0.427,iasp91,dbp:vladik:2002,6637725
J20K_BHZ,66.223°,94.33°,P,2020-01-28 19:21:13.1247 UTC,72.771,0.064,iasp91,dbp:vladik:2002,6637545
Q18K_BHZ,66.371°,91.14°,P,2020-01-28 19:21:14.1276 UTC,-1,0.114,iasp91,dbp:vladik:2002,6637914
L19K_BHZ,66.417°,92.82°,P,2020-01-28 19:21:14.009 UTC,-1,-0.298,iasp91,dbp:vladik:2002,6637726
P18K_BHZ,66.501°,91.27°,P,2020-01-28 19:21:14.5432 UTC,32.935,-0.298,iasp91,dbp:vladik:2002,6637532
H20K_BHZ,66.632°,94.23°,P,2020-01-28 19:21:15.1574 UTC,-1,-0.527,iasp91,dbp:vladik:2002,6637935
M18K_BHZ,66.848°,91.66°,P,2020-01-28 19:21:17.287 UTC,-1,0.227,iasp91,dbp:vladik:2002,6637916
J19K_BHZ,66.855°,92.91°,P,2020-01-28 19:21:16.9764 UTC,32.071,-0.127,iasp91,dbp:vladik:2002,6637547
N18K_BHZ,66.859°,91.25°,P,2020-01-28 19:21:17.0035 UTC,15.755,-0.127,iasp91,dbp:vladik:2002,6637613
P17K_BHZ,67.116°,90.14°,P,2020-01-28 19:21:19.1953 UTC,-1,0.427,iasp91,dbp:vladik:2002,6637728
Q16K_BHZ,67.228°,89.74°,P,2020-01-28 19:21:19.9074 UTC,-1,0.427,iasp91,dbp:vladik:2002,6637729
J18K_BHZ,67.317°,91.69°,P,2020-01-28 19:21:19.7469 UTC,-1,-0.298,iasp91,dbp:vladik:2002,6637730
N17K_BHZ,67.494°,90.05°,P,2020-01-28 19:21:21.6196 UTC,28.513,0.456,iasp91,dbp:vladik:2002,6637612
G19K_BHZ,67.573°,92.47°,P,2020-01-28 19:21:21.5461 UTC,-1,-0.117,iasp91,dbp:vladik:2002,6637731
M17K_BHZ,67.617°,90.2°,P,2020-01-28 19:21:22.1914 UTC,-1,0.246,iasp91,dbp:vladik:2002,6637732
A21K_BHZ,67.742°,95.04°,P,2020-01-28 19:21:22.6044 UTC,11.466,-0.127,iasp91,dbp:vladik:2002,6637535
P16K_BHZ,67.914°,88.75°,P,2020-01-28 19:21:23.6912 UTC,17.077,-0.127,iasp91,dbp:vladik:2002,6637533
O16K_BHZ,67.955°,88.89°,P,2020-01-28 19:21:24.5014 UTC,-1,0.427,iasp91,dbp:vladik:2002,6637733
L17K_BHZ,68.024°,89.74°,P,2020-01-28 19:21:24.7536 UTC,-1,0.246,iasp91,dbp:vladik:2002,6637734
K17K_BHZ,68.024°,89.97°,P,2020-01-28 19:21:24.6246 UTC,-1,0.114,iasp91,dbp:vladik:2002,6637917
H18K_BHZ,68.07°,90.89°,P,2020-01-28 19:21:24.8618 UTC,-1,0.064,iasp91,dbp:vladik:2002,6637735
G18K_BHZ,68.202°,90.93°,P,2020-01-28 19:21:25.856 UTC,-1,0.227,iasp91,dbp:vladik:2002,6637918
N16K_BHZ,68.273°,88.66°,P,2020-01-28 19:21:25.9507 UTC,12.733,-0.127,iasp91,dbp:vladik:2002,6637614
M16K_BHZ,68.354°,88.71°,P,2020-01-28 19:21:27.0365 UTC,-1,0.455,iasp91,dbp:vladik:2002,6637736
O15K_BHZ,68.85°,87.24°,P,2020-01-28 19:21:29.9105 UTC,-1,0.227,iasp91,dbp:vladik:2002,6637919
N15K_BHZ,68.939°,87.4°,P,2020-01-28 19:21:30.4803 UTC,-1,0.246,iasp91,dbp:vladik:2002,6637737
J16K_BHZ,69.059°,88.15°,P,2020-01-28 19:21:32.1358 UTC,-1,1.152,iasp91,dbp:vladik:2002,6637739
I17K_BHZ,69.082°,88.3°,P,2020-01-28 19:21:30.9977 UTC,32.88,-0.127,iasp91,dbp:vladik:2002,6637536
K15K_BHZ,69.526°,86.96°,P,2020-01-28 19:21:34.8471 UTC,-1,0.971,iasp91,dbp:vladik:2002,6637741
L15K_BHZ,69.539°,86.76°,P,2020-01-28 19:21:34.1223 UTC,42.798,0.165,iasp91,dbp:vladik:2002,6637609
H16K_BHZ,69.722°,87.2°,P,2020-01-28 19:21:35.2541 UTC,79.036,0.165,iasp91,dbp:vladik:2002,6637610
N14K_BHZ,69.747°,85.94°,P,2020-01-28 19:21:35.8508 UTC,-1,0.608,iasp91,dbp:vladik:2002,6637742
M14K_BHZ,69.824°,86.01°,P,2020-01-28 19:21:36.5103 UTC,20.09,0.789,iasp91,dbp:vladik:2002,6637537
D17K_BHZ,69.923°,87.55°,P,2020-01-28 19:21:36.2087 UTC,-1,-0.117,iasp91,dbp:vladik:2002,6637743
L14K_BHZ,70.13°,85.6°,P,2020-01-28 19:21:38.6256 UTC,-1,1.024,iasp91,dbp:vladik:2002,6637744
J14K_BHZ,70.426°,85.35°,P,2020-01-28 19:21:40.781 UTC,-1,1.365,iasp91,dbp:vladik:2002,6637753
M13K_BHZ,70.532°,84.7°,P,2020-01-28 19:21:41.0869 UTC,-1,1.024,iasp91,dbp:vladik:2002,6637752
F15K_BHZ,70.663°,85.42°,P,2020-01-28 19:21:42.0109 UTC,-1,1.152,iasp91,dbp:vladik:2002,6637751
K13K_BHZ,71.011°,84.11°,P,2020-01-28 19:21:43.7728 UTC,-1,0.796,iasp91,dbp:vladik:2002,6637920
M11K_BHZ,71.935°,82.27°,P,2020-01-28 19:21:48.4437 UTC,-1,-0.114,iasp91,dbp:vladik:2002,6637749
P08K_BHZ,74.296°,78.37°,P,2020-01-28 19:22:03.3235 UTC,-1,0.789,iasp91,dbp:vladik:2002,6637747
