VNET	NET	STA	SITE DESCRIPTION	LAT	LON	ELEV	START	END	STATUS	INSTALL	CERT
_US-TA	AK	CAPN	Captain Cook Nikiski, AK, USA	60.77	-151.15	47.0	2014/06/10	2021/04/30	Ended		2014/06/09
_US-TA	AK	CAST	Castle Rocks, AK, USA	63.42	-152.08	611.0	2015/02/19	2021/04/30	Ended	2006/08/04	2015/02/19
_US-TA	AK	CHI	Chirikof Island, AK, USA	55.82	-155.62	203.0	2015/02/19	2021/04/30	Ended	2008/09/14	2015/02/19
_US-TA	AK	CHN	Chernabura Island, AK, USA	54.83	-159.59	71.0	2015/02/19	2021/04/30	Ended	2013/06/26	2015/02/19
_US-TA	AK	CHUM	Lake Minchumina, AK, USA	63.88	-152.32	217.0	2015/02/19	2021/04/30	Ended	2004/06/01	2015/02/19
_US-TA	AK	COLD	Coldfoot, AK, USA	67.23	-150.20	380.0	2014/06/16	2021/04/30	Ended		2014/06/16
_US-TA	AK	CRQ	Cirque, AK, USA	60.75	-143.09	1392.3	2015/02/19	2021/04/30	Ended	2010/06/19	2015/02/19
_US-TA	AK	CTG	Chitna Glacier, AK, USA	60.96	-141.34	1507.9	2015/02/19	2020/05/05	Ended	2010/06/17	2015/02/19
_US-TA	AK	CUT	Chulitna, AK, USA	62.41	-150.26	574.0	2014/05/16	2021/04/30	Ended		2014/06/09
_US-TA	AK	D17K	Noatak River, AK, USA	67.70	-163.08	172.0	2020/11/04	2021/04/30	Ended	2017/08/25	2020/10/25
_US-TA	AK	D20K	Etivluk River, AK, USA	68.71	-156.61	577.0	2020/09/23	2021/04/30	Ended	2017/08/17	2020/09/27
_US-TA	AK	D22K	Ayikyak River, AK, USA	68.88	-152.68	532.0	2020/09/23	2021/04/30	Ended	2017/08/16	2020/09/27
_US-TA	AK	D24K	Happy Valley, AK, USA	69.15	-148.82	292.0	2020/10/02	2021/04/30	Ended	2016/06/14	2020/10/11
_US-TA	AK	D25K	Kavik River, AK, USA	69.32	-146.38	770.0	2020/09/23	2021/04/30	Ended	2016/06/21	2020/09/27
